country,level1_id,level2_id,name,label
PHL,187,425,5572,Camayahan
PHL,143,290,2600,Cambagahan
PHL,143,290,2601,Cambaguio
PHL,172,376,4514,Cambante
PHL,141,286,1743,Cambas-Ac
PHL,143,290,1669,Cambuilao
PHL,172,374,4454,Camparang
BRA,10,345,4310,Campina
BRA,10,345,4252,Campinho
PHL,142,322,2722,Campo
BRA,10,345,4291,Campo Alegre
BRA,10,139,4021,Campo do Meio
BRA,10,447,5771,Campo do Sal
BRA,10,205,4197,Campo Novo
PHL,190,435,5506,Campong Ulay
PHL,172,374,4455,Campoyong
PHL,143,300,1944,Campuyo
PHL,143,289,2612,Camudlas
BRA,10,139,4038,Camutá
BRA,10,136,3938,Canaã
PHL,148,282,2629,Canatuan
BRA,10,346,4346,Canavial
PHL,172,374,4456,Canawayon
PHL,143,300,2697,Candabong
PHL,184,397,4988,Candangal
PHL,177,387,4852,Candao
PHL,190,435,5508,Candawaga
PHL,178,413,5185,Candayuman
BRA,10,136,3939,Candeua
PHL,147,316,1928,Candiis
PHL,178,404,5142,Canipaan
PHL,190,435,5512,Canipaan
PHL,178,405,5086,Canlabian
PHL,143,290,1670,Canlargo
PHL,142,321,2712,Cansabusab
PHL,172,372,4427,Cansumangcay
BRA,10,205,4170,Cantina
PHL,172,378,4539,Cantomoja
PHL,143,323,1839,Cantupa
BRA,10,448,5793,Canudos
PHL,184,398,4922,Canuyep
PHL,173,381,5698,Canyoyo
PHL,140,292,1712,Capandan
PHL,147,288,1804,Caparan
PHL,143,290,1672,Capinahan
HND,20,152,2780,Capiro
BRA,10,137,4050,Caranã
BRA,10,137,4075,Caranã de Basília
PHL,172,378,4540,Carapdapan
BRA,10,139,4357,Caratateua
BRA,10,136,4362,Caratateua 
BRA,10,139,3998,Cariambá
PHL,145,301,2657,Caridad
PHL,141,304,2277,Caridad
PHL,172,378,4541,Caridad
PHL,184,400,4950,Caridad
PHL,145,438,5387,Caridad
BRA,10,205,4151,Carimbá
PHL,149,297,1975,Caringo
BRA,10,205,4186,Cariperana
PHL,145,301,2658,Carit-an
PHL,145,338,2938,Carit-an
PHL,145,325,2040,Carmen
PHL,186,415,5211,Carmen (Pob.)
BRA,10,447,5772,Carmo
PHL,145,437,5373,Casay
PHL,145,437,5371,Casay Viejo
PHL,172,378,4542,Casili-On
BRA,10,139,4359,Castelo
PHL,184,397,4910,Castillo
PHL,172,374,4457,Casuguran
PHL,178,411,5152,Cat-Iwing
PHL,186,406,5092,Catadman
PHL,190,430,5436,Catagupan
PHL,149,297,1976,Catandunganon
PHL,141,306,1776,Catangnan
PHL,173,381,5705,Catato (Pob. Dist. I)
PHL,178,413,5175,Catig
PHL,147,315,1906,Catipan
PHL,141,287,1759,Caub
PHL,142,284,2069,Cawit
PHL,186,408,5128,Cayetano
HND,18,110,598,Cayitos de Utila
GTM,21,125,1162,Cayo Quemado
PHL,149,297,1977,Cayucyucan
BRA,10,347,4209,Cearense
BRA,10,205,4152,Cebola
BRA,10,137,4055,Cedral
BRA,10,343,4143,Cedro
BRA,10,345,4302,Centro
BRA,10,134,5004,Centro
PHL,141,304,2084,Centro (Pob.)
BRA,10,139,3993,Centro - Cidade
BRA,10,137,4046,Centro Alegre
PHL,145,293,1848,Centro Este (Pob.)
PHL,145,301,2659,Centro Norte (Pob.)
BRA,10,137,5281,Centro Novo
PHL,145,301,1726,Centro Poblacion
PHL,145,325,2041,Centro Sur (Pob.)
PHL,145,301,2660,Centro Sur (Pob.)
BRA,10,137,5283,Centro Velho
PHL,145,293,1850,Centro Weste (Pob.)
BRA,10,139,3982,Cereja
HND,19,117,2792,Cerritos
PHL,146,327,1769,Cervantes
BRA,10,134,4103,Céu
HND,17,112,5824,Chachahuala
BRA,10,205,4187,Chapada
BRA,10,139,4035,Chaú
HND,17,112,2771,Chivana
BRA,10,145,5003,Cidade
BRA,10,345,4297,Cidade (Sede)
BRA,10,205,4160,Cigano
BRA,10,139,4036,Cipoapara
BRA,10,346,4354,Cipoteua
BRA,10,347,4208,Clemente
BRA,10,205,4171,Clementes
BRA,10,343,4119,Cocal
BRA,10,205,4178,Cocal
HND,20,121,576,Cocalito
GTM,21,125,1157,Cocoli
PHL,146,296,2719,Codcod
PHL,139,281,1791,Cogon
PHL,178,405,5085,Cogon
HND,20,160,2970,Col. Las Lomas
PHL,149,297,1978,Colasi
PHL,148,282,1704,Colong-cogong
PHL,189,421,5523,Colorado
PHL,186,406,5106,Columbus
PHL,189,423,5536,Comagascas
PHL,184,400,4948,Cometa
PHL,147,331,5318,Concepcion
PHL,189,423,5659,Concepcion
PHL,147,309,1831,Concepcion (Balungis)
PHL,145,301,2661,Condes
PHL,141,304,2280,Consolacion
PHL,141,286,2294,Consolacion
PHL,140,291,1696,Consuelo
PHL,142,322,2318,Consuelo
PHL,141,306,5306,Consuelo
BRA,10,136,3927,Coqueiro
BRA,10,135,4086,Coqueiro
PHL,141,306,5307,Corazon
BRA,10,448,5794,Coremas
PHL,186,406,5107,Coring
HND,19,162,2785,Corozal
PHL,141,286,1744,Corregidor
PHL,186,406,5103,Cortes
PHL,139,281,2670,Cota Na Daco (Pob.)
PHL,172,373,4438,Coticot
HND,18,163,5718,Coxen Hole
HND,18,163,5817,Crawfish Rock
GTM,21,125,1167,Creek Chino
BRA,10,346,4332,Crispim
HND,20,152,2974,Cristales
BRA,10,447,5774,Crôa Nova
BRA,10,345,4265,Cruzeiro 
BRA,10,346,4350,Cruzeiro do Maú
PHL,145,293,1851,Cubay
PHL,189,427,5354,Cubi-cubi
IDN,185,403,5066,Cucumare
BRA,10,205,4188,Cueiras
BRA,10,448,5795,Cuinarana
PHL,190,429,5425,Culandanum
PHL,172,374,4458,Culasi
PHL,190,435,5509,Culasian
PHL,189,427,5637,Culit
BRA,10,449,5813,Cumaru
BRA,10,136,3940,Cumeré
BRA,10,134,5713,Curral Velho
BRA,10,345,4231,Curuçambaua
BRA,10,345,4225,Curuçazinho
BRA,10,136,3907,Curuperé
BRA,10,344,4317,Curuperé
HND,20,121,574,Cusuna
PHL,189,421,5524,Cuyago
PHL,142,321,2093,Daan Paz
PHL,142,329,2758,Daan Secante
PHL,142,298,2596,Dagatan
PHL,141,286,1745,Dagohoy
PHL,187,425,5573,Dagohoy Poblacion
PHL,141,306,1777,Daku
IDN,109,173,4754,Dalako Bembanahe
PHL,147,312,2066,Dalama
IDN,109,172,4734,Dalapuli
IDN,109,172,4735,Dalapuli Barat
IDN,109,172,4736,Dalapuli Timur
PHL,172,374,4459,Dalaragan
PHL,148,279,2747,Daligan
IDN,109,174,4762,Dalinsaheng
PHL,184,397,4989,Damayan (Pob.)
PHL,143,289,2613,Danao
PHL,145,438,5388,Dangcalan
PHL,187,425,5574,Dankias
PHL,143,290,2602,Dansulan
PHL,147,316,1932,Dansulao
PHL,142,284,2070,Dapdap
PHL,142,283,2725,Dapdap
PHL,148,282,1705,Daraga
IDN,185,403,5072,Darame
IDN,104,150,2337,Darat Pantai
IDN,185,403,5071,Daruba
PHL,141,304,2085,Datu
PHL,147,331,2377,Dawa-Dawa
PHL,145,332,2398,Dawis
PHL,141,304,2086,Dayaohay
PHL,187,425,5575,De Oro
PHL,141,287,1760,Del Carmen
PHL,141,303,2299,Del Carmen (Pob.)
PHL,147,316,1929,Del Pilar
PHL,141,308,2175,Del Pilar
PHL,189,423,5660,Del Pilar
PHL,184,400,4937,Del Pilar
PHL,186,407,5117,Del Pilar
PHL,141,303,5315,Del Pilar
PHL,149,297,1979,Del Rosario (Tagongtong)
PHL,145,336,2914,Delima
IDN,109,172,4737,Dengi
BRA,10,135,4095,Deolândia
BRA,10,345,4233,Derrubada 15 
BRA,10,448,5796,Derrubadinho
IDN,14,10,2563,Dete
PHL,186,419,5247,Diaz (Romualdez)
PHL,145,440,5418,Diclum
PHL,187,425,5576,Diego Silang Poblacion
IDN,14,5,1620,Dimba
PHL,145,325,2042,Dionela
PHL,145,332,2406,Dionela
PHL,147,309,1835,Dipala
PHL,178,411,5270,District 2
PHL,178,411,5153,District I (Pob.)
PHL,139,281,2671,Dita
IDN,109,171,5737,Dodap
IDN,109,171,5738,Dodap Mikasa
IDN,109,171,5739,Dodap Pantai
IDN,109,170,4715,Domisilmonow
PHL,143,289,1685,Domolog
PHL,141,287,1761,Domoyog
PHL,147,288,1805,Don Andres
PHL,187,425,5577,Don Francisco
PHL,141,286,1746,Don Paulino
PHL,186,417,5231,Don Ruben Ecleo (Baltazar)
PHL,189,422,5528,Doña Rosario
PHL,189,422,5529,Doña Telesfora
IDN,14,15,4651,Dongkala
IDN,14,5,123,Dongkalaea
PHL,142,326,1680,Doong
PHL,187,425,5578,Doongan
IDN,185,402,5054,Dorolamo
HND,20,160,2972,Dos Bocas / Brisas del Mar
IDN,109,172,4738,Duini
PHL,187,425,5579,Dulag
PHL,187,425,5580,Dumalagan
PHL,145,325,2043,Dumrog
PHL,143,300,2698,Dungo-an
PHL,145,439,5395,Durog
PHL,145,325,2044,Duyong
PHL,142,321,2094,Eastern Poblacion
PHL,186,406,5098,Edera
IDN,14,4,4614,Eelahaji
IDN,109,178,4816,Ehe
HND,18,111,603,El Cayo
HND,17,87,5825,El Faro
HND,17,112,2773,El Paraiso
HND,18,111,602,El Pelicano
GTM,21,126,1171,El Quetzalito
BRA,10,139,4024,Eldorado
BRA,10,343,4120,Emburuaca
BRA,10,448,5797,Enseada
PHL,146,296,2120,Ermita
PHL,186,408,5134,Escolta (Pob.)
BRA,10,145,3961,Espanha
PHL,141,287,1762,Esperanza
PHL,142,284,2072,Esperanza
PHL,142,321,2321,Esperanza
PHL,142,322,2342,Esperanza
PHL,186,415,5207,Esperanza
PHL,178,420,5253,Esperanza
PHL,178,420,5264,Esperanza Dos
BRA,10,345,4288,Espírito Santo
PHL,178,413,5187,Estela
HND,17,112,492,Estero / Las Flores
PHL,184,398,4982,F. Nanadiego
MOZ,76,103,955,Farol
PHL,145,440,5419,Fatima
BRA,10,347,4210,Faustina
BRA,10,137,4059,Fazenda Real
BRA,10,344,4324,Fazendinha
PHL,145,301,1727,Fe
MOZ,23,19,234,Fequete
PHL,186,406,5102,Ferdinand
PHL,186,415,5208,Ferdinand
BRA,10,137,4076,Fernandes Belo
BRA,10,139,3999,Ferreira
BRA,10,205,4179,Ferreira Pinto
PHL,173,381,5699,Ferreras
PHL,148,279,2748,Filarca (Pob.)
BRA,10,205,5288,Flexal
BRA,10,205,4172,Flexeira
PHL,145,301,2662,Flores
PHL,187,425,5645,Florida
PHL,147,317,2186,Florida
BRA,10,447,5775,Fortaleza
BRA,10,347,4211,Fortaleza
HND,18,163,5717,French Harbor
PHL,145,438,5390,Funda
PHL,145,439,5399,Funda-Dalipe
BRA,10,205,4161,Fundo da Dispensa
BRA,10,345,4274,Furo do Mocooca (junto com 40 do mocooca)
BRA,10,205,4167,Furo Novo
PHL,149,297,1980,Gaboc
IDN,185,402,5052,Gafi
PHL,172,374,4460,Gahoy
IDN,14,9,180,Gala
IDN,179,389,4838,Galala
IDN,14,15,4665,Galanti
PHL,147,314,2004,Galas
IDN,179,390,5035,Gale-gale
IDN,185,403,5077,Galo-galo
PHL,147,314,2007,Gandaan
IDN,109,178,4809,Gangga Dua
IDN,109,178,4810,Gangga Satu
PHL,147,311,2101,Gango
PHL,141,305,2160,Garcia
PHL,186,412,5160,Garcia
PHL,178,416,5224,Garrido
PHL,148,282,1706,Gata
IDN,14,16,4679,Gaya Baru
MOZ,25,445,5681,Gelo
PHL,142,329,2303,General
PHL,186,412,5162,General Aguinaldo (Bolod-Bolod)
PHL,140,291,1697,General Island
PHL,140,291,2953,General Island Sitio Ayoke
PHL,186,406,5095,Geotina
IDN,14,16,4676,Gerak Makmur
PHL,148,282,1707,Gibgos
PHL,172,373,4439,Gigoso
PHL,142,298,1661,Ginablan
BRA,10,137,4079,Giz Emaus
IDN,15,105,1138,Go
PHL,148,282,2631,Gogon
BRA,10,205,4162,Goiaval
PHL,187,425,5581,Golden Ribbon Poblacion
PHL,143,285,2588,Gomentoc
PHL,186,408,5127,Gomez
PHL,184,396,4907,Gordon
PHL,189,428,5359,Gosoon
PHL,150,340,2961,Granada
PHL,145,334,2894,Gua
PHL,146,296,2121,Guadalupe
HND,20,120,2346,Guadalupe
BRA,10,145,3962,Guajará
BRA,10,345,4251,Guajará
BRA,10,135,4093,Guarajuba
BRA,10,346,4344,Guarajubal
BRA,10,135,5290,Guarajubinha
PHL,147,313,1998,Gubawang
PHL,189,424,5547,Guiasan
PHL,147,331,5276,Guicam
PHL,145,337,2921,Guija
PHL,148,282,2632,Guijalo
PHL,189,426,5626,Guinabsan
PHL,184,400,4941,Guinhawa
PHL,172,375,4502,Guinob-An
PHL,177,386,4859,Guintagbucan
PHL,145,438,5384,Guintas
PHL,178,413,5174,Guintoylan
PHL,145,335,2934,Guisijan
MOZ,23,401,4964,Guitine
PHL,144,294,1867,Guitna
PHL,147,312,2055,Guiwan
PHL,142,326,2949,Guiwanon
PHL,147,331,2366,Gulayon
IDN,14,3,97,Gumamano
PHL,147,330,2381,Guminta
PHL,184,400,4952,Gumubat
IDN,185,402,5050,Gunange
IDN,14,3,4409,Gundungundu
IDN,109,174,4770,Haasi
PHL,172,374,4461,Habag
PHL,142,319,2731,Hagdan
PHL,172,374,4462,Hagna
PHL,142,283,2142,Hagnaya
IDN,14,10,1489,Haka
PHL,141,287,1763,Halian
IDN,14,14,46,Hambawa
PHL,149,297,1981,Hamoraon
PHL,172,374,4463,Hamorawon
PHL,148,282,2633,Hanopol
PHL,148,282,2634,Haponan
IDN,179,390,5007,Haria
PHL,145,332,2390,Harique
IDN,179,390,5043,Harlau Pauni
PHL,186,415,5203,Helene
PHL,141,308,2176,Helene
PHL,142,319,2154,Hilantagaan
PHL,178,414,5197,Himatagon (Pob.)
PHL,178,413,5176,Himayangan
PHL,178,414,5193,Himbangan
PHL,142,322,2125,Himensulan
PHL,178,414,5199,Hindag-An
PHL,178,418,5236,Hingatungan
PHL,145,332,2397,Hininga-an
PHL,149,297,1982,Hinipaan
IDN,14,15,4647,Holimombo
IDN,14,15,4649,Holimombo Jaya
PHL,172,374,4464,Hollywood
PHL,187,425,5582,Holy Redeemer Poblacion
PHL,141,308,5316,Honrado
IDN,179,390,5041,Horale
IDN,14,10,5,Horuo
BRA,10,344,4325,Hota
IDN,179,390,5023,Hulaliu
PHL,187,425,5583,Humabon Poblacion
IDN,109,174,4783,Humbia
PHL,145,437,5367,Iba
PHL,184,395,4974,Ibabang Kinagunan
PHL,184,398,4914,Ibabang Yuni
PHL,172,378,4543,Iberan
BRA,10,205,4173,Icaraú
PHL,145,325,2045,Idiacacan
PHL,145,328,2169,Idio
PHL,190,431,5455,Igang-Igang
BRA,10,343,4135,Igarapé-Açu
BRA,10,346,4348,Igarapé-açu
PHL,145,338,2937,Igbarawan
PHL,145,293,1852,Igcagay
PHL,145,440,5417,Igdalaguit
PHL,145,440,5412,Igdanlog
IDN,179,390,5021,Iha
IDN,179,390,5018,Ihamahu
PHL,178,413,5178,Ilag
PHL,145,337,2924,Ilaures
PHL,148,282,2635,Ilawod
PHL,184,398,4983,Ilayang Yuni
BRA,10,205,4153,Ilha da Madeira
BRA,10,345,4220,Ilha da Marieta
BRA,10,343,4124,Ilha das Pedras
BRA,10,145,3974,Ilha de São Miguel 
BRA,10,343,4136,Ilha do Coco
BRA,10,137,4080,Ilha Grande
MOZ,25,20,240,Ilha Insular
BRA,10,205,4189,Ilha Serrada
PHL,148,282,2636,Ili-Centro (Pob.)
IDN,109,179,4713,Iligon
PHL,147,331,2370,Ilisan
PHL,187,425,5584,Imadejas Poblacion
PHL,145,332,2395,Imba
PHL,186,406,5108,Imee (Bactasan)
PHL,186,419,5251,Imelda
PHL,142,284,2073,Imelda
BRA,10,345,4300,Imperial 
PHL,143,285,2589,Inacban
BRA,10,447,5776,Inajá
BRA,10,139,4020,Inambucui
PHL,172,374,4465,Inapulangan
